University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
Miller-Motte College at Cary (N.C.),Miller Motte College Cary (N.C.),316,North Carolina,0.30%,2.20%,52.80%,8.20%,0.30%,1.90%,65.80%,0.00%,2.80%,31.30%,86.70%,13.30%
Alabama College of Osteopathic Medicine,Alabama College Osteopathic Medicine,316,Alabama,0.00%,13.00%,7.30%,5.10%,0.00%,4.10%,29.40%,0.00%,2.50%,68.00%,38.00%,62.00%
Platt College at San Diego,Platt College San Diego,316,California,1.30%,9.80%,10.80%,24.40%,0.00%,10.10%,56.30%,0.60%,8.50%,34.50%,32.60%,67.40%
Florida Education Institute,Florida Education Institute,316,Florida,0.00%,0.00%,0.00%,99.70%,0.00%,0.00%,99.70%,0.00%,0.00%,0.30%,90.80%,9.20%
Pima Medical Institute-South Denver,Pima Medical Institute South Denver,315,Colorado,1.00%,2.90%,17.10%,40.00%,0.30%,6.70%,67.90%,0.00%,0.00%,32.10%,93.30%,6.70%
ITT Technical Institute at Columbia (S.C.),ITT Technical Institute Columbia (S.C.),315,South Carolina,0.30%,1.30%,69.80%,2.20%,0.00%,2.90%,76.50%,0.00%,1.60%,21.90%,31.10%,68.90%
Fortis College at Montgomery (Ala.),Fortis College Montgomery (Ala.),315,Alabama,0.00%,0.30%,68.90%,1.00%,0.00%,1.30%,71.40%,0.00%,4.80%,23.80%,79.00%,21.00%
Fortis College at Norfolk (Va.),Fortis College Norfolk (Va.),315,Virginia,0.30%,1.00%,75.20%,2.20%,1.00%,0.60%,80.30%,0.00%,0.60%,19.00%,85.70%,14.30%
Sofia University,Sofia University,314,California,0.60%,1.00%,7.60%,7.30%,0.00%,22.30%,38.90%,2.20%,8.00%,51.00%,73.60%,26.40%
Kaplan College at Lubbock (Tex.),Kaplan College Lubbock (Tex.),314,Texas,0.00%,1.00%,11.80%,65.90%,0.00%,0.00%,78.70%,0.00%,1.90%,19.40%,88.20%,11.80%
Calvary Bible College and Theological Seminary,Calvary Bible College and Theological Seminary,314,Missouri,1.00%,2.20%,10.20%,2.90%,0.30%,1.90%,18.50%,0.60%,0.00%,80.90%,47.80%,52.20%
NA,NA,312,NA,5.50%,11.70%,85.80%,27.20%,6.90%,15.30%,96.30%,17.70%,77.90%,85.40%,83.70%,16.30%
Fortis College at Orange Park (Fla.),Fortis College Orange Park (Fla.),312,Florida,0.30%,2.20%,27.20%,8.00%,0.30%,7.10%,45.20%,0.00%,0.60%,54.20%,84.30%,15.70%
Zion Bible College,Zion Bible College,312,Massachusetts,0.30%,1.30%,11.90%,17.60%,1.60%,1.90%,34.60%,2.20%,2.90%,60.30%,42.60%,57.40%
ITT Technical Institute-Grand Rapids South (Mich.),ITT Technical Institute Grand Rapids South (Mich.),312,Michigan,1.00%,1.00%,14.70%,9.00%,0.00%,3.20%,28.80%,0.00%,1.90%,69.20%,31.40%,68.60%
ITT Technical Institute at Culver City (Calif.),ITT Technical Institute Culver City (Calif.),312,California,0.60%,4.80%,31.10%,47.80%,0.00%,3.50%,87.80%,0.00%,4.80%,7.40%,20.50%,79.50%
Westwood College-O'Hare Airport,Westwood College O'Hare Airport,311,Illinois,0.00%,3.50%,15.80%,38.90%,0.00%,1.90%,60.10%,0.00%,24.80%,15.10%,51.40%,48.60%
Manhattan Christian College,Manhattan Christian College,311,Kansas,1.60%,0.30%,2.60%,2.90%,0.00%,1.00%,8.40%,4.80%,10.90%,75.90%,47.30%,52.70%
God's Bible School and College,God's Bible School and College,310,Ohio,0.60%,1.00%,3.20%,3.20%,0.00%,0.00%,8.10%,9.40%,1.90%,80.60%,45.20%,54.80%
Keck Graduate Institute,Keck Graduate Institute,310,California,0.00%,31.60%,2.90%,9.00%,1.30%,3.50%,48.40%,25.20%,3.90%,22.60%,55.80%,44.20%
Lincoln Technical Institute-Northeast Philadelphia,Lincoln Technical Institute Northeast Philadelphia,310,Pennsylvania,0.30%,1.90%,47.40%,17.40%,0.30%,5.50%,72.90%,0.00%,0.60%,26.50%,78.10%,21.90%
College of Health Care Professions at Fort Worth,College Health Care Professions Fort Worth,310,Texas,0.30%,3.20%,15.80%,38.10%,0.00%,0.60%,58.10%,0.00%,38.10%,3.90%,84.20%,15.80%
Dallas Christian College,Dallas Christian College,309,Texas,1.00%,0.00%,29.40%,18.40%,0.60%,3.20%,52.80%,1.00%,0.60%,45.60%,43.00%,57.00%
Saint Anthony College of Nursing,Saint Anthony College Nursing,309,Illinois,0.30%,5.20%,5.50%,8.10%,0.30%,1.00%,20.40%,0.00%,1.90%,77.70%,89.30%,10.70%
National American University at Lee's Summit (Mo.),National American University Lee's Summit (Mo.),309,Missouri,0.60%,0.00%,37.90%,1.60%,0.00%,5.80%,46.00%,0.00%,0.00%,54.00%,82.50%,17.50%
Herzing University at Birmingham (Ala.),Herzing University Birmingham (Ala.),309,Alabama,0.00%,0.60%,52.80%,1.60%,0.00%,5.80%,60.80%,0.00%,3.90%,35.30%,63.10%,36.90%
ITT Technical Institute at Dayton (Ohio),ITT Technical Institute Dayton (Ohio),309,Ohio,1.00%,1.60%,26.20%,0.30%,0.30%,3.60%,33.00%,0.00%,1.60%,65.40%,41.40%,58.60%
Columbia College Hollywood,Columbia College Hollywood,308,California,0.00%,3.20%,18.80%,20.80%,0.00%,5.50%,48.40%,6.20%,1.60%,43.80%,41.90%,58.10%
L'Ecole Culinaire at St. Louis,L'Ecole Culinaire St Louis,308,Missouri,0.60%,0.00%,60.10%,1.30%,0.00%,2.90%,64.90%,0.00%,2.90%,32.10%,44.20%,55.80%
ITT Technical Institute at Oak Brook (Ill.),ITT Technical Institute Oak Brook (Ill.),307,Illinois,0.00%,3.90%,34.20%,31.90%,0.00%,3.90%,73.90%,0.00%,2.60%,23.50%,27.70%,72.30%
Stautzenberger College at Brecksville (Ohio),Stautzenberger College Brecksville (Ohio),307,Ohio,0.30%,0.30%,9.80%,4.20%,0.00%,2.30%,16.90%,0.00%,0.70%,82.40%,91.50%,8.50%
Brown Mackie College-Northern Kentucky,Brown Mackie College Northern Kentucky,306,Kentucky,0.00%,0.30%,13.70%,2.60%,0.30%,0.00%,17.00%,0.00%,0.70%,82.40%,78.40%,21.60%
Interdenominational Theological Center,Interdenominational Theological Center,306,Georgia,0.00%,0.00%,96.40%,0.00%,0.30%,0.30%,97.10%,1.30%,0.00%,1.60%,44.10%,55.90%
Los Angeles ORT College at Los Angeles,Los Angeles ORT College Los Angeles,306,California,0.00%,37.90%,9.80%,21.60%,0.00%,0.00%,69.30%,1.60%,0.00%,29.10%,64.10%,35.90%
Saint Louis College of Health Careers-South Taylor,Saint Louis College Health Careers South Taylor,305,Missouri,1.30%,0.00%,92.10%,0.00%,0.00%,2.00%,95.40%,0.00%,1.30%,3.30%,93.80%,6.20%
Dawson Community College,Dawson Community College,305,Montana,2.60%,6.20%,3.60%,3.90%,0.00%,0.00%,16.40%,1.60%,8.50%,73.40%,54.10%,45.90%
"Watkins College of Art, Design & Film","Watkins College Art, Design & Film",304,Tennessee,1.00%,1.60%,13.50%,4.60%,0.30%,5.90%,27.00%,1.30%,1.00%,70.70%,53.60%,46.40%
University of Texas M.D. Anderson Cancer Center,University Texas M.D. Anderson Cancer Center,303,Texas,1.00%,24.80%,10.90%,24.10%,0.30%,0.00%,61.10%,7.60%,0.70%,30.70%,67.70%,32.30%
Andrew College,Andrew College,303,Georgia,0.00%,1.00%,48.50%,7.30%,0.00%,3.00%,59.70%,2.60%,0.00%,37.60%,52.10%,47.90%
Career Technical College at Shreveport,Career Technical College Shreveport,303,Louisiana,0.30%,1.00%,65.70%,2.00%,0.30%,3.30%,72.60%,0.00%,0.70%,26.70%,85.10%,14.90%
Appalachian Bible College,Appalachian Bible College,302,West Virginia,0.70%,0.30%,0.00%,1.30%,0.70%,0.00%,3.00%,0.30%,8.60%,88.10%,41.70%,58.30%
Kaplan College at Laredo (Tex.),Kaplan College Laredo (Tex.),300,Texas,0.00%,0.30%,0.00%,98.00%,0.00%,0.00%,98.30%,0.00%,0.30%,1.30%,75.70%,24.30%
International Academy of Design and Technology at Seattle,International Academy Design and Technology Seattle,299,Washington,1.30%,7.40%,7.00%,2.30%,2.00%,2.30%,22.40%,0.00%,47.50%,30.10%,45.50%,54.50%
Seattle School of Theology & Psychology,Seattle School Theology & Psychology,297,Washington,0.30%,2.70%,1.70%,2.00%,0.00%,6.40%,13.10%,0.00%,4.70%,82.20%,66.30%,33.70%
Leech Lake Tribal College,Leech Lake Tribal College,297,Minnesota,96.30%,0.30%,0.00%,0.00%,0.30%,0.00%,97.00%,0.00%,0.30%,2.70%,62.00%,38.00%
Quest College,Quest College,296,Texas,0.30%,1.70%,25.70%,48.00%,0.30%,0.00%,76.00%,0.00%,0.00%,24.00%,82.80%,17.20%
National American University -Wichita West (Kan.),National American University Wichita West (Kan.),296,Kansas,1.00%,0.70%,27.40%,7.40%,0.00%,8.10%,44.60%,0.00%,0.00%,55.40%,73.30%,26.70%
Remington College-Baton Rouge Campus,Remington College Baton Rouge,296,Louisiana,0.30%,0.00%,80.10%,0.30%,0.30%,2.00%,83.10%,0.00%,0.30%,16.60%,80.40%,19.60%
ITT Technical Institute at Spokane Valley (Wash.),ITT Technical Institute Spokane Valley (Wash.),295,Washington,3.10%,2.70%,4.10%,3.70%,0.00%,4.40%,18.00%,0.00%,2.00%,80.00%,26.10%,73.90%
National American University at Rio Rancho (N.M.),National American University Rio Rancho (N.M.),295,New Mexico,14.60%,0.00%,6.10%,38.60%,0.30%,9.20%,68.80%,0.00%,1.00%,30.20%,71.50%,28.50%
Miller-Motte Technical College at Roanoke (Va.),Miller Motte Technical College Roanoke (Va.),294,Virginia,0.30%,0.00%,28.60%,2.70%,0.00%,2.40%,34.00%,0.00%,0.70%,65.30%,92.20%,7.80%
ITT Technical Institute at Knoxville (Tenn.),ITT Technical Institute Knoxville (Tenn.),294,Tennessee,1.00%,1.00%,14.30%,3.10%,0.00%,1.70%,21.10%,0.00%,1.70%,77.20%,27.20%,72.80%
"Trinity International University , Florida Regional Center","Trinity International University , Florida Regional Center",293,Florida,0.00%,1.70%,33.80%,46.10%,0.00%,0.00%,81.60%,0.00%,4.40%,14.00%,65.90%,34.10%
Dade Medical College at Homestead,Dade Medical College Homestead,292,Florida,1.00%,1.00%,15.40%,76.40%,0.00%,1.00%,94.90%,0.00%,0.00%,5.10%,88.00%,12.00%
Faith Baptist Bible College and Theological Seminary,Faith Baptist Bible College and Theological Seminary,292,Iowa,1.00%,1.40%,2.10%,1.00%,0.70%,1.40%,7.50%,0.00%,0.00%,92.50%,50.30%,49.70%
Remington College at Shreveport (La.),Remington College Shreveport (La.),291,Louisiana,0.00%,0.00%,66.30%,3.10%,0.00%,2.40%,71.80%,0.00%,0.30%,27.80%,74.20%,25.80%
Calvin Theological Seminary,Calvin Theological Seminary,291,Michigan,0.00%,7.60%,1.70%,1.00%,0.00%,1.00%,11.30%,39.50%,4.80%,44.30%,21.60%,78.40%
ITT Technical Institute at Oxnard (Calif.),ITT Technical Institute Oxnard (Calif.),291,California,0.70%,10.70%,8.20%,43.00%,0.30%,2.70%,65.60%,0.00%,4.10%,30.20%,25.10%,74.90%
Mayo Clinic College of Medicine-Mayo Graduate School,Mayo Clinic College Medicine Mayo Graduate School,291,Minnesota,1.40%,5.80%,3.10%,7.90%,0.70%,1.00%,19.90%,26.10%,16.80%,37.10%,56.40%,43.60%
Aaniiih Nakoda College,Aaniiih Nakoda College,291,Montana,88.00%,0.00%,0.00%,0.70%,0.00%,0.00%,88.70%,0.00%,0.00%,11.30%,61.20%,38.80%
Central Christian College of the Bible,Central Christian College Bible,290,Missouri,0.70%,1.40%,3.40%,2.40%,0.00%,4.10%,12.10%,0.00%,0.30%,87.60%,49.00%,51.00%
University of Phoenix at Indianapolis (Ind.),University Phoenix Indianapolis (Ind.),290,Indiana,1.00%,0.30%,34.50%,5.20%,0.00%,1.40%,42.40%,0.30%,28.30%,29.00%,69.30%,30.70%
Fortis College at Phoenix,Fortis College Phoenix,290,Arizona,1.00%,1.00%,17.90%,31.70%,0.00%,2.80%,54.50%,0.00%,18.30%,27.20%,88.30%,11.70%
Sitting Bull College,Sitting Bull College,289,North Dakota,88.20%,0.00%,0.00%,0.00%,0.00%,0.00%,88.20%,0.00%,0.00%,11.80%,69.60%,30.40%
DeVry University of Michigan,DeVry University Michigan,289,Michigan,0.00%,2.10%,55.40%,3.80%,0.70%,0.30%,62.30%,0.70%,0.30%,36.70%,60.20%,39.80%
Ottawa University -Milwaukee,Ottawa University Milwaukee,289,Wisconsin,2.10%,2.10%,15.20%,4.50%,0.00%,1.40%,25.30%,0.00%,19.40%,55.40%,77.20%,22.80%
University of Phoenix at Milwaukee (Wis.),University Phoenix Milwaukee (Wis.),288,Wisconsin,0.30%,1.40%,27.80%,2.80%,0.00%,4.50%,36.80%,0.00%,25.70%,37.50%,68.10%,31.90%
ITT Technical Institute-Indianapolis East,ITT Technical Institute Indianapolis East,288,Indiana,0.00%,1.00%,40.30%,1.70%,0.00%,3.10%,46.20%,0.00%,4.20%,49.70%,28.50%,71.50%
Knox Theological Seminary,Knox Theological Seminary,287,Florida,0.00%,4.20%,11.50%,3.80%,0.00%,1.70%,21.30%,0.00%,4.50%,74.20%,12.20%,87.80%
Professional Skills Institute,Professional Skills Institute,286,Ohio,0.00%,2.10%,26.60%,3.10%,0.00%,3.10%,35.00%,0.00%,0.00%,65.00%,85.30%,14.70%
College of Business and Technology at Hialeah (Fla.),College Business and Technology Hialeah (Fla.),285,Florida,0.00%,0.00%,3.20%,96.10%,0.00%,0.00%,99.30%,0.70%,0.00%,0.00%,15.10%,84.90%
Heritage Institute at Jacksonville (Fla.),Heritage Institute Jacksonville (Fla.),285,Florida,0.40%,3.50%,37.20%,7.70%,0.70%,3.90%,53.30%,0.40%,0.40%,46.00%,73.00%,27.00%
Claremont School of Theology,Claremont School Theology,285,California,0.00%,8.80%,8.80%,7.40%,2.10%,2.50%,29.50%,15.10%,10.50%,44.90%,48.10%,51.90%
Vatterott Career College-Appling Farms,Vatterott Career College Appling Farms,285,Tennessee,0.00%,0.00%,78.60%,1.80%,0.00%,0.70%,81.10%,0.00%,0.00%,18.90%,51.60%,48.40%
Kaplan College at Ft. Worth (Tex.),Kaplan College Ft. Worth (Tex.),284,Texas,0.40%,1.80%,26.10%,46.50%,1.10%,0.00%,75.70%,0.00%,1.10%,23.20%,87.00%,13.00%
University of Saint Mary of the Lake-Mundelein Seminary,University Saint Mary Lake Mundelein Seminary,284,Illinois,0.00%,1.10%,0.40%,7.40%,0.00%,0.00%,8.80%,23.20%,0.00%,68.00%,7.40%,92.60%
John Paul the Great Catholic University,John Paul Great Catholic University,284,California,1.10%,6.00%,1.80%,18.30%,1.10%,2.10%,30.30%,0.00%,16.50%,53.20%,38.40%,61.60%
Lawrence Memorial/Regis College,Lawrence Memorial/Regis College,283,Massachusetts,0.40%,3.20%,10.20%,7.40%,0.00%,2.50%,23.70%,0.70%,9.20%,66.40%,87.60%,12.40%
South College (N.C.),South College (N.C.),283,North Carolina,0.40%,0.40%,12.70%,2.50%,0.00%,1.40%,17.30%,0.00%,0.70%,82.00%,79.20%,20.80%
International Academy of Design and Technology at Henderson (Nev.),International Academy Design and Technology Henderson (Nev.),283,Nevada,1.10%,6.40%,19.40%,5.70%,2.10%,1.80%,36.40%,0.00%,34.30%,29.30%,27.60%,72.40%
University C The Business College at Utica,University C Business College Utica,282,New York,0.00%,0.40%,10.60%,3.50%,0.00%,2.50%,17.00%,0.00%,0.00%,83.00%,81.90%,18.10%
Biblical Theological Seminary,Biblical Theological Seminary,282,Pennsylvania,0.00%,14.90%,18.80%,2.10%,0.00%,0.70%,36.50%,27.00%,0.40%,36.20%,33.00%,67.00%
American University of Health Sciences,American University Health Sciences,282,California,0.00%,64.20%,7.10%,14.20%,0.70%,4.60%,90.80%,0.40%,0.00%,8.90%,69.50%,30.50%
World Mission University,World Mission University,282,California,0.00%,61.00%,0.00%,0.00%,0.00%,0.00%,61.00%,39.00%,0.00%,0.00%,61.00%,39.00%
Burnett International College,Burnett International College,281,Florida,0.00%,0.00%,96.40%,2.10%,0.00%,0.00%,98.60%,0.00%,0.00%,1.40%,79.70%,20.30%
Bryn Athyn College of the New Church,Bryn Athyn College New Church,281,Pennsylvania,0.00%,1.80%,19.60%,8.50%,0.40%,0.00%,30.20%,4.30%,0.00%,65.50%,48.80%,51.20%
American Academy of Dramatic Arts at Los Angeles,American Academy Dramatic Arts Los Angeles,280,California,1.10%,1.10%,8.20%,9.60%,0.40%,13.20%,33.60%,24.30%,0.70%,41.40%,59.30%,40.70%
Taylor Business Institute (Ill.),Taylor Business Institute (Ill.),280,Illinois,0.00%,0.00%,31.40%,3.60%,0.00%,0.00%,35.00%,65.00%,0.00%,0.00%,41.80%,58.20%
Memphis Theological Seminary,Memphis Theological Seminary,279,Tennessee,0.00%,3.60%,50.20%,1.40%,0.00%,0.00%,55.20%,0.00%,0.00%,44.80%,42.70%,57.30%
Kaplan College at Chula Vista (Calif.),Kaplan College Chula Vista (Calif.),279,California,0.00%,4.70%,11.50%,75.60%,1.80%,0.00%,93.50%,0.00%,2.50%,3.90%,82.40%,17.60%
ITT Technical Institute at Everett (Wash.),ITT Technical Institute Everett (Wash.),279,Washington,1.10%,9.30%,6.50%,9.70%,0.00%,3.90%,30.50%,0.00%,5.00%,64.50%,28.30%,71.70%
Argosy University at Seattle,Argosy University Seattle,278,Washington,1.10%,5.80%,20.10%,6.80%,2.50%,0.00%,36.30%,0.00%,2.20%,61.50%,60.80%,39.20%
Phillips Beth Israel School of Nursing,Phillips Beth Israel School Nursing,278,New York,0.00%,12.60%,24.80%,12.20%,6.80%,0.00%,56.50%,0.40%,0.00%,43.20%,83.10%,16.90%
ITT Technical Institute at Cary (N.C.),ITT Technical Institute Cary (N.C.),278,North Carolina,1.40%,2.20%,46.80%,9.70%,0.00%,3.20%,63.30%,0.00%,3.20%,33.50%,23.70%,76.30%
Marian Court College,Marian Court College,277,Massachusetts,0.00%,1.80%,5.80%,16.20%,0.00%,0.00%,23.80%,0.00%,41.90%,34.30%,67.90%,32.10%
Robert B. Miller College,Robert B. Miller College,276,Michigan,0.00%,0.00%,4.70%,2.90%,0.00%,1.10%,8.70%,0.00%,35.50%,55.80%,80.40%,19.60%
Strayer University at Jackson (Miss.),Strayer University Jackson (Miss.),276,Mississippi,0.40%,0.40%,90.60%,0.70%,0.00%,0.70%,92.80%,0.00%,2.90%,4.30%,76.80%,23.20%
Platt College at Tulsa (Okla.),Platt College Tulsa (Okla.),276,Oklahoma,7.20%,1.40%,27.90%,6.50%,0.70%,1.80%,45.70%,0.00%,1.10%,53.30%,75.70%,24.30%
Daytona College,Daytona College,276,Florida,0.70%,0.70%,27.20%,6.90%,0.00%,5.40%,40.90%,0.00%,5.40%,53.60%,93.10%,6.90%
Medvance Institute-West Palm Beach,Medvance Institute West Palm Beach,276,Florida,0.40%,0.00%,40.20%,24.60%,0.00%,2.90%,68.10%,0.00%,9.40%,22.50%,71.40%,28.60%
Kaplan University at Mason City (Iowa),Kaplan University Mason City (Iowa),276,Iowa,0.70%,0.70%,1.80%,4.30%,0.00%,0.00%,7.60%,0.00%,30.40%,62.00%,84.40%,15.60%
ITT Technical Institute at Springfield (Ill.),ITT Technical Institute Springfield (Ill.),275,Illinois,0.70%,0.00%,26.50%,3.30%,0.00%,1.80%,32.40%,0.00%,0.70%,66.90%,36.00%,64.00%
ITT Technical Institute at Boise (Idaho),ITT Technical Institute Boise (Idaho),274,Idaho,1.80%,3.30%,2.90%,7.70%,0.40%,1.80%,17.90%,0.00%,2.20%,79.90%,49.60%,50.40%
Pacific College,Pacific College,274,California,0.00%,12.80%,8.40%,58.00%,0.70%,0.70%,80.70%,0.00%,6.60%,12.80%,86.50%,13.50%
ITT Technical Institute at Little Rock (Ark.),ITT Technical Institute Little Rock (Ark.),273,Arkansas,1.80%,1.10%,40.70%,5.10%,0.00%,1.10%,49.80%,0.00%,1.10%,49.10%,24.90%,75.10%
Harrison College at Grove City (Ohio),Harrison College Grove City (Ohio),273,Ohio,0.00%,1.80%,19.40%,3.30%,0.00%,7.70%,32.20%,0.40%,2.90%,64.50%,84.60%,15.40%
ITT Technical Institute at Plymouth Meeting (Pa.),ITT Technical Institute Plymouth Meeting (Pa.),273,Pennsylvania,0.70%,1.50%,50.20%,8.80%,0.00%,1.50%,62.60%,0.00%,2.90%,34.40%,31.90%,68.10%
Paul Quinn College,Paul Quinn College,273,Texas,0.00%,0.00%,82.80%,12.80%,0.00%,1.80%,97.40%,0.40%,0.40%,1.80%,54.60%,45.40%
Western Theological Seminary,Western Theological Seminary,272,Michigan,0.00%,3.30%,4.80%,2.60%,0.40%,1.50%,12.50%,2.90%,0.00%,84.60%,36.40%,63.60%
Oregon College of Oriental Medicine,Oregon College Oriental Medicine,272,Oregon,0.40%,8.50%,0.40%,5.10%,0.40%,3.30%,18.00%,2.60%,0.70%,78.70%,74.30%,25.70%
Kaplan College at Fresno (Calif.),Kaplan College Fresno (Calif.),272,California,0.70%,4.80%,1.80%,65.10%,0.00%,0.00%,72.40%,0.00%,2.90%,24.60%,85.30%,14.70%
Blue Cliff College at Alexandria,Blue Cliff College Alexandria,271,Louisiana,0.00%,0.00%,48.00%,2.20%,0.00%,0.70%,50.90%,0.00%,0.00%,49.10%,89.30%,10.70%
University of New Hampshire School of Law,University New Hampshire School Law,271,New Hampshire,0.00%,3.30%,1.50%,2.60%,0.00%,1.50%,8.90%,15.50%,10.00%,65.70%,38.40%,61.60%
Everest College at Phoenix-Mesa,Everest College Phoenix Mesa,270,Arizona,6.30%,0.70%,8.50%,25.60%,1.90%,5.60%,48.50%,0.00%,12.60%,38.90%,77.40%,22.60%
ITT Technical Institute at North Charleston (S.C.),ITT Technical Institute North Charleston (S.C.),270,South Carolina,0.70%,0.70%,63.00%,2.60%,0.00%,1.50%,68.50%,0.00%,1.90%,29.60%,31.10%,68.90%
NA,NA,270,NA,5.50%,11.70%,85.80%,27.20%,6.90%,15.30%,96.30%,17.70%,77.90%,85.40%,83.70%,16.30%
Riverside School of Health Careers,Riverside School Health Careers,270,Virginia,0.40%,3.00%,14.40%,3.30%,0.00%,5.60%,26.70%,0.00%,0.70%,72.60%,89.60%,10.40%
Kuyper College,Kuyper College,270,Michigan,0.70%,2.60%,3.30%,1.50%,0.00%,4.10%,12.20%,5.90%,4.40%,77.40%,54.80%,45.20%
Westwood College-River Oaks,Westwood College River Oaks,269,Illinois,0.70%,0.00%,65.80%,10.00%,0.00%,1.10%,77.70%,0.00%,11.90%,10.40%,62.10%,37.90%
ITT Technical Institute at Greenville (S.C.),ITT Technical Institute Greenville (S.C.),269,South Carolina,0.70%,0.70%,36.40%,5.60%,0.00%,3.00%,46.50%,0.00%,1.50%,52.00%,26.00%,74.00%
Cottey College,Cottey College,269,Missouri,2.20%,0.40%,4.80%,10.40%,0.40%,5.90%,24.20%,11.50%,0.00%,64.30%,100.00%,0.00%
Ave Maria School of Law,Ave Maria School Law,269,Florida,1.90%,1.50%,8.90%,23.80%,0.40%,0.00%,36.40%,1.10%,4.10%,58.40%,52.40%,47.60%
Fortis College at Ravenna (Ohio),Fortis College Ravenna (Ohio),269,Ohio,0.00%,0.40%,12.60%,0.40%,0.00%,2.60%,16.00%,0.00%,0.70%,83.30%,56.90%,43.10%
Yeshiva of Nitra Rabbinical College,Yeshiva Nitra Rabbinical College,267,New York,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%
Douglas Education Center,Douglas Education Center,267,Pennsylvania,0.00%,0.00%,2.20%,5.60%,0.40%,3.00%,11.20%,0.00%,3.70%,85.00%,69.70%,30.30%
Chicago School of Professional Psychology at Irvine,Chicago School Professional Psychology Irvine,267,California,0.40%,8.60%,11.60%,24.30%,0.40%,1.50%,46.80%,2.60%,2.60%,47.90%,79.00%,21.00%
NA,NA,266,NA,5.50%,11.70%,85.80%,27.20%,6.90%,15.30%,96.30%,17.70%,77.90%,85.40%,83.70%,16.30%
University of Phoenix at Washington (D.C.)District o,University Phoenix Washington (D.C.)District o,265,Washington,0.00%,0.80%,42.30%,3.80%,0.40%,7.50%,54.70%,1.50%,38.50%,5.30%,51.30%,48.70%
Georgia Christian University,Georgia Christian University,265,Georgia,0.00%,21.10%,0.00%,0.00%,0.00%,0.00%,21.10%,78.90%,0.00%,0.00%,51.70%,48.30%
NA,NA,264,NA,5.50%,11.70%,85.80%,27.20%,6.90%,15.30%,96.30%,17.70%,77.90%,85.40%,83.70%,16.30%
Ohio Business College at Sandusky,Ohio Business College Sandusky,264,Ohio,0.40%,0.40%,21.60%,4.90%,0.00%,0.40%,27.70%,0.00%,1.50%,70.80%,74.20%,25.80%
Westwood College at Annandale,Westwood College Annandale,264,Virginia,0.40%,3.40%,42.00%,22.00%,0.80%,3.00%,71.60%,0.00%,17.40%,11.00%,48.90%,51.10%
National American University at Roseville (Minn.),National American University Roseville (Minn.),264,Minnesota,3.40%,11.70%,33.00%,1.50%,0.00%,8.70%,58.30%,0.00%,0.40%,41.30%,63.30%,36.70%
Vatterott College at Joplin (Mo.),Vatterott College Joplin (Mo.),264,Missouri,1.90%,0.00%,3.40%,1.10%,0.00%,2.30%,8.70%,0.00%,14.00%,77.30%,59.10%,40.90%
Herzing University at Minneapolis,Herzing University Minneapolis,263,Minnesota,0.40%,8.70%,9.10%,1.10%,0.00%,4.20%,23.60%,0.00%,21.30%,55.10%,91.30%,8.70%
Little Big Horn College,Little Big Horn College,263,Montana,97.70%,0.00%,0.40%,0.40%,0.00%,0.00%,98.50%,0.40%,0.00%,1.10%,60.10%,39.90%
City College at Miami,City College Miami,263,Florida,0.00%,1.50%,30.40%,60.10%,0.00%,1.50%,93.50%,0.00%,1.50%,4.90%,60.10%,39.90%
Dade Medical College at West Palm Beach,Dade Medical College West Palm Beach,263,Florida,0.80%,1.10%,53.60%,40.70%,0.00%,0.40%,96.60%,0.00%,0.00%,3.40%,86.70%,13.30%
ITT Technical Institute at DeSoto (Tex.),ITT Technical Institute DeSoto (Tex.),263,Texas,0.80%,0.40%,67.30%,19.40%,0.00%,0.80%,88.60%,0.00%,0.80%,10.60%,37.60%,62.40%
